"","geoid10","Frequency"
"146","36005022102",561
"147","36005022200",421
"148","36005022300",527
"149","36005022401",170
"150","36005022403",341
"151","36005022404",194
"152","36005022500",715
"153","36005022701",205
"154","36005022702",178
"155","36005022703",161
"156","36005022800",147
"157","36005022901",422
"158","36005022902",294
"159","36005023000",191
"160","36005023100",176
"161","36005023200",141
"162","36005023301",445
"163","36005023302",328
"164","36005023501",220
"165","36005023502",290
"166","36005023600",112
"167","36005023702",233
"168","36005023703",800
"169","36005023704",387
"170","36005023800",187
"171","36005023900",932
"172","36005024000",293
"173","36005024100",595
"174","36005024300",468
"175","36005024400",107
"176","36005024501",205
"177","36005024502",322
"178","36005024600",62
"179","36005024700",71
"180","36005024800",137
"181","36005024900",86
"182","36005025000",89
"183","36005025100",635
"184","36005025200",113
"185","36005025300",676
"186","36005025400",66
"187","36005025500",388
"188","36005025600",116
"189","36005025700",137
"190","36005026100",106
"191","36005026300",668
"192","36005026400",286
"193","36005026500",713
"194","36005026601",97
"195","36005026602",265
"196","36005026701",278
"197","36005026702",369
"198","36005026900",323
"199","36005027300",361
"200","36005027401",127
"201","36005027402",105
"202","36005027600",70
"203","36005027700",353
"204","36005027900",262
"205","36005028100",103
"206","36005028300",192
"207","36005028400",286
"208","36005028500",248
"209","36005028600",94
"210","36005028700",219
"211","36005028800",181
"212","36005028900",379
"213","36005029301",26
"214","36005029302",111
"215","36005029500",124
"216","36005029600",243
"217","36005029700",107
"218","36005030000",210
"219","36005030100",18
"220","36005030200",279
"221","36005030701",55
"222","36005030900",106
"223","36005031000",135
"224","36005031200",52
"225","36005031400",42
"226","36005031600",52
"227","36005031800",43
"228","36005031900",30
"229","36005032300",132
"230","36005032400",259
"231","36005032600",134
"232","36005032800",246
"233","36005033000",354
"234","36005033201",119
"235","36005033202",205
"236","36005033400",609
"237","36005033500",104
"238","36005033600",477
"239","36005033700",79
"240","36005033800",248
"241","36005034000",174
"242","36005034200",109
"243","36005034300",69
"244","36005034400",86
"245","36005034500",95
"246","36005034800",344
"247","36005035000",89
"248","36005035100",72
"249","36005035600",220
"250","36005035800",292
"251","36005035900",202
"252","36005036000",103
"253","36005036100",508
"254","36005036300",565
"255","36005036400",181
"256","36005036501",326
"257","36005036502",161
"258","36005036700",141
"259","36005036800",170
"260","36005036901",234
"261","36005036902",186
"262","36005037000",81
"263","36005037100",394
"264","36005037200",116
"265","36005037300",506
"266","36005037400",249
"267","36005037504",500
"268","36005037600",81
"269","36005037800",164
"270","36005037900",480
"271","36005038000",452
"272","36005038100",437
"273","36005038200",114
"274","36005038301",371
"275","36005038302",518
"276","36005038500",551
"277","36005038600",362
"278","36005038700",322
"279","36005038800",79
"280","36005038900",536
"281","36005039000",240
"282","36005039100",529
"283","36005039200",140
"284","36005039300",410
"285","36005039400",345
"286","36005039500",497
"287","36005039600",249
"288","36005039700",472
"289","36005039800",98
"290","36005039901",828
"291","36005039902",444
"292","36005040100",755
"293","36005040302",174
"294","36005040303",236
"295","36005040304",352
"296","36005040400",233
"297","36005040501",330
"298","36005040502",504
"299","36005040600",245
"300","36005040701",149
"301","36005040702",380
"302","36005040800",306
"303","36005040900",418
"304","36005041100",179
"305","36005041300",299
"306","36005041400",458
"307","36005041500",166
"308","36005041800",297
"309","36005041900",412
"310","36005042000",270
"311","36005042100",481
"312","36005042200",138
"313","36005042300",229
"314","36005042400",124
"315","36005042500",487
"316","36005042600",267
"317","36005042800",68
"318","36005042901",146
"319","36005042902",206
"320","36005043000",101
"321","36005043100",558
"322","36005043400",188
"323","36005043500",471
"324","36005043600",90
"325","36005044200",211
