"","tract_name","freq","city"
"495","Census Tract 192",127,"Brooklyn"
"496","Census Tract 193",155,"Brooklyn"
"497","Census Tract 194",83,"Brooklyn"
"498","Census Tract 195",93,"Brooklyn"
"499","Census Tract 196",78,"Brooklyn"
"500","Census Tract 197",116,"Brooklyn"
"501","Census Tract 198",27,"Brooklyn"
"502","Census Tract 199",139,"Brooklyn"
"503","Census Tract 2",129,"Brooklyn"
"504","Census Tract 20",78,"Brooklyn"
"505","Census Tract 200",53,"Brooklyn"
"506","Census Tract 201",113,"Brooklyn"
"507","Census Tract 202",23,"Brooklyn"
"508","Census Tract 203",106,"Brooklyn"
"509","Census Tract 204",29,"Brooklyn"
"510","Census Tract 205",77,"Brooklyn"
"511","Census Tract 206",45,"Brooklyn"
"512","Census Tract 207",84,"Brooklyn"
"513","Census Tract 208",54,"Brooklyn"
"514","Census Tract 21",455,"Brooklyn"
"515","Census Tract 210",34,"Brooklyn"
"516","Census Tract 211",59,"Brooklyn"
"517","Census Tract 212",82,"Brooklyn"
"518","Census Tract 213",238,"Brooklyn"
"519","Census Tract 214",73,"Brooklyn"
"520","Census Tract 215",145,"Brooklyn"
"521","Census Tract 216",30,"Brooklyn"
"522","Census Tract 217",228,"Brooklyn"
"523","Census Tract 218",30,"Brooklyn"
"524","Census Tract 219",186,"Brooklyn"
"525","Census Tract 22",168,"Brooklyn"
"526","Census Tract 220",54,"Brooklyn"
"527","Census Tract 221",113,"Brooklyn"
"528","Census Tract 222",60,"Brooklyn"
"529","Census Tract 224",67,"Brooklyn"
"530","Census Tract 226",77,"Brooklyn"
"531","Census Tract 227",222,"Brooklyn"
"532","Census Tract 228",58,"Brooklyn"
"533","Census Tract 229",133,"Brooklyn"
"534","Census Tract 23",154,"Brooklyn"
"535","Census Tract 230",55,"Brooklyn"
"536","Census Tract 231",88,"Brooklyn"
"537","Census Tract 232",51,"Brooklyn"
"538","Census Tract 233",260,"Brooklyn"
"539","Census Tract 234",36,"Brooklyn"
"540","Census Tract 235",227,"Brooklyn"
"541","Census Tract 236",35,"Brooklyn"
"542","Census Tract 238",27,"Brooklyn"
"543","Census Tract 240",44,"Brooklyn"
"544","Census Tract 241",204,"Brooklyn"
"545","Census Tract 242",44,"Brooklyn"
"546","Census Tract 243",142,"Brooklyn"
"547","Census Tract 244",45,"Brooklyn"
"548","Census Tract 245",258,"Brooklyn"
"549","Census Tract 246",58,"Brooklyn"
"550","Census Tract 247",178,"Brooklyn"
"551","Census Tract 248",50,"Brooklyn"
"552","Census Tract 249",255,"Brooklyn"
"553","Census Tract 250",41,"Brooklyn"
"554","Census Tract 251",296,"Brooklyn"
"555","Census Tract 252",87,"Brooklyn"
"556","Census Tract 253",161,"Brooklyn"
"557","Census Tract 254",61,"Brooklyn"
"558","Census Tract 255",232,"Brooklyn"
"559","Census Tract 256",51,"Brooklyn"
"560","Census Tract 257",222,"Brooklyn"
"561","Census Tract 258",62,"Brooklyn"
"562","Census Tract 259.01",121,"Brooklyn"
"563","Census Tract 259.02",166,"Brooklyn"
"564","Census Tract 260",61,"Brooklyn"
"565","Census Tract 261",232,"Brooklyn"
"566","Census Tract 262",28,"Brooklyn"
"567","Census Tract 263",183,"Brooklyn"
"568","Census Tract 264",69,"Brooklyn"
"569","Census Tract 265",196,"Brooklyn"
"570","Census Tract 266",58,"Brooklyn"
"571","Census Tract 267",134,"Brooklyn"
"572","Census Tract 268",45,"Brooklyn"
"573","Census Tract 269",246,"Brooklyn"
"574","Census Tract 270",45,"Brooklyn"
"575","Census Tract 271",199,"Brooklyn"
"576","Census Tract 272",35,"Brooklyn"
"577","Census Tract 273",205,"Brooklyn"
"578","Census Tract 274",54,"Brooklyn"
"579","Census Tract 275",147,"Brooklyn"
"580","Census Tract 276",81,"Brooklyn"
"581","Census Tract 277",304,"Brooklyn"
"582","Census Tract 278",89,"Brooklyn"
"583","Census Tract 279",192,"Brooklyn"
"584","Census Tract 280",37,"Brooklyn"
"585","Census Tract 281",254,"Brooklyn"
"586","Census Tract 282",56,"Brooklyn"
"587","Census Tract 283",348,"Brooklyn"
"588","Census Tract 284",102,"Brooklyn"
"589","Census Tract 285.01",70,"Brooklyn"
"590","Census Tract 285.02",112,"Brooklyn"
"591","Census Tract 286",91,"Brooklyn"
"592","Census Tract 287",254,"Brooklyn"
"593","Census Tract 288",85,"Brooklyn"
"594","Census Tract 289",243,"Brooklyn"
"595","Census Tract 29.01",151,"Brooklyn"
"596","Census Tract 290",128,"Brooklyn"
"597","Census Tract 291",249,"Brooklyn"
"598","Census Tract 292",241,"Brooklyn"
"599","Census Tract 293",186,"Brooklyn"
"600","Census Tract 294",38,"Brooklyn"
"601","Census Tract 295",160,"Brooklyn"
"602","Census Tract 296",97,"Brooklyn"
"603","Census Tract 297",329,"Brooklyn"
"604","Census Tract 298",122,"Brooklyn"
"605","Census Tract 299",114,"Brooklyn"
"606","Census Tract 3.01",63,"Brooklyn"
"607","Census Tract 30",50,"Brooklyn"
"608","Census Tract 300",59,"Brooklyn"
"609","Census Tract 301",191,"Brooklyn"
"610","Census Tract 302",54,"Brooklyn"
"611","Census Tract 303",281,"Brooklyn"
"612","Census Tract 304",93,"Brooklyn"
"613","Census Tract 305",263,"Brooklyn"
"614","Census Tract 306",52,"Brooklyn"
"615","Census Tract 307",401,"Brooklyn"
"616","Census Tract 308",127,"Brooklyn"
"617","Census Tract 309",193,"Brooklyn"
"618","Census Tract 31",146,"Brooklyn"
"619","Census Tract 311",275,"Brooklyn"
"620","Census Tract 313",197,"Brooklyn"
"621","Census Tract 314",109,"Brooklyn"
"622","Census Tract 315",435,"Brooklyn"
"623","Census Tract 317.01",178,"Brooklyn"
"624","Census Tract 317.02",176,"Brooklyn"
"625","Census Tract 319",121,"Brooklyn"
"626","Census Tract 321",262,"Brooklyn"
"627","Census Tract 323",183,"Brooklyn"
"628","Census Tract 325",258,"Brooklyn"
"629","Census Tract 326",617,"Brooklyn"
"630","Census Tract 327",173,"Brooklyn"
"631","Census Tract 328",156,"Brooklyn"
"632","Census Tract 329",183,"Brooklyn"
"633","Census Tract 33",250,"Brooklyn"
"634","Census Tract 330",326,"Brooklyn"
"635","Census Tract 331",124,"Brooklyn"
"636","Census Tract 333",86,"Brooklyn"
"637","Census Tract 335",97,"Brooklyn"
