"","geoid10","Pop"
"354",36047011000,2441
"355",36047110400,4358
"356",36047110600,4311
"357",36047111000,3216
"358",36047111600,3484
"359",36047111800,3053
"360",36047011200,6436
"361",36047112000,3155
"362",36047112200,3371
"363",36047112400,3416
"364",36047112600,3783
"365",36047112800,3822
"366",36047113000,3891
"367",36047113200,1937
"368",36047113400,2838
"369",36047011400,3976
"370",36047114201,1578
"371",36047114202,2766
"372",36047114400,2403
"373",36047114600,2998
"374",36047115000,2595
"375",36047115200,3094
"376",36047115600,4315
"377",36047115800,2983
"378",36047011600,4816
"379",36047116000,2543
"380",36047116200,2157
"381",36047116400,2921
"382",36047116600,2907
"383",36047116800,2057
"384",36047011700,2364
"385",36047117000,1880
"386",36047117201,2713
"387",36047117202,3907
"388",36047117400,4329
"389",36047117601,2750
"390",36047117602,3313
"391",36047117800,1717
"392",36047011800,2253
"393",36047118201,3002
"394",36047118202,3083
"395",36047118400,5420
"396",36047118600,2969
"397",36047118800,4651
"398",36047011900,1530
"399",36047119000,2127
"400",36047119200,3013
"401",36047119400,3914
"402",36047119600,5403
"403",36047119800,3426
"404",36047012000,1268
"405",36047120000,2148
"406",36047120200,1900
"407",36047120800,8938
"408",36047012100,1619
"409",36047121000,4035
"410",36047121400,4351
"411",36047012200,5339
"412",36047122000,5495
"413",36047123700,6008
"414",36047012600,2652
"415",36047012700,3507
"416",36047012801,2117
"417",36047012901,2159
"418",36047012902,1964
"419",36047001300,2275
"420",36047013000,4792
"421",36047013100,3828
"422",36047013200,2239
"423",36047013300,3730
"424",36047013400,3907
"425",36047013500,3596
"426",36047013600,3927
"427",36047013700,3057
"428",36047013800,3168
"429",36047013900,3481
"430",36047014000,1826
"431",36047014100,3017
"432",36047014200,3223
"433",36047014300,3487
"434",36047014500,4179
"435",36047014700,2084
"436",36047014800,1209
"437",36047014900,4976
"438",36047001500,3521
"439",36047015000,1574
"440",36047150200,2540
"441",36047015100,3578
"442",36047015200,2309
"443",36047152200,3317
"444",36047015300,3041
"445",36047015500,3272
"446",36047015700,4135
"447",36047015900,5036
"448",36047016000,4217
"449",36047016100,3075
"450",36047016200,2082
"451",36047016300,2991
"452",36047016400,764
"453",36047016500,5141
"454",36047016600,2059
"455",36047016700,4638
"456",36047016800,1510
"457",36047016900,4497
"458",36047017000,3254
"459",36047017100,3749
"460",36047017200,2931
"461",36047017400,1793
"462",36047017600,2295
"463",36047017800,2898
"464",36047017900,3624
"465",36047001800,2105
"466",36047018000,3193
"467",36047018100,3936
"468",36047018200,3163
"469",36047018300,2500
"470",36047018400,2002
"471",36047018501,3827
"472",36047018600,2124
"473",36047018700,1411
"474",36047018800,2640
"475",36047019000,4782
"476",36047019100,2332
"477",36047019200,2772
"478",36047019300,5628
"479",36047019400,3305
"480",36047019500,3366
"481",36047019600,4353
"482",36047019700,3313
"483",36047019800,1702
"484",36047019900,2929
"485",36047000200,1470
"486",36047002000,1672
"487",36047020000,2265
"488",36047020100,3421
"489",36047020200,1874
"490",36047020300,1697
"491",36047020400,1708
"492",36047020500,2469
"493",36047020600,2220
"494",36047020700,4310
"495",36047020800,3048
"496",36047002100,3604
"497",36047021000,3968
"498",36047021100,1210
"499",36047021200,4643
"500",36047021300,4205
"501",36047021400,2152
"502",36047021500,5307
"503",36047021600,4015
"504",36047021700,3597
"505",36047021800,3761
"506",36047021900,3595
"507",36047002200,4613
"508",36047022000,4939
"509",36047022100,3609
"510",36047022200,4693
"511",36047022400,5486
"512",36047022600,2516
"513",36047022700,3454
"514",36047022800,3306
"515",36047022900,3395
"516",36047002300,4247
"517",36047023000,4515
"518",36047023100,3025
"519",36047023200,5699
"520",36047023300,5061
"521",36047023400,5059
"522",36047023500,3928
"523",36047023600,5600
"524",36047023800,4590
"525",36047024000,4693
"526",36047024100,2229
"527",36047024200,2984
"528",36047024300,3786
"529",36047024400,3238
"530",36047024500,3946
"531",36047024600,3256
"532",36047024700,2316
"533",36047024800,2698
"534",36047024900,3823
"535",36047025000,1722
"536",36047025100,3816
"537",36047025200,4786
"538",36047025300,2754
"539",36047025400,3500
"540",36047025500,5102
"541",36047025600,3058
"542",36047025700,2131
"543",36047025800,4597
"544",36047025901,2010
"545",36047025902,3419
"546",36047026000,3649
"547",36047026100,4917
"548",36047026200,2374
"549",36047026300,1868
"550",36047026400,4592
"551",36047026500,3838
"552",36047026600,3733
"553",36047026700,3920
"554",36047026800,4188
"555",36047026900,2770
"556",36047027000,2449
"557",36047027100,2471
"558",36047027200,3480
"559",36047027300,2813
"560",36047027400,3028
"561",36047027500,4180
"562",36047027600,3694
"563",36047027700,3945
"564",36047027800,3220
"565",36047027900,3674
"566",36047028000,1761
"567",36047028100,4193
"568",36047028200,2943
"569",36047028300,4097
"570",36047028400,4003
"571",36047028501,428
"572",36047028502,2802
"573",36047028600,4814
"574",36047028700,2991
"575",36047028800,3458
"576",36047028900,3538
"577",36047002901,3218
"578",36047029000,3920
"579",36047029100,3101
"580",36047029200,2539
"581",36047029300,3106
"582",36047029400,2321
"583",36047029500,3425
"584",36047029600,5546
"585",36047029700,3344
"586",36047029800,3717
"587",36047029900,2579
"588",36047000301,4259
"589",36047003000,1730
"590",36047030000,4120
"591",36047030100,2750
"592",36047030200,4214
"593",36047030300,4458
"594",36047030400,4281
"595",36047030500,5549
"596",36047030600,2005
"597",36047030700,4544
"598",36047030800,1949
"599",36047030900,1754
"600",36047003100,2472
"601",36047031100,2833
"602",36047031300,4648
"603",36047031400,4544
"604",36047031500,5175
"605",36047031701,3433
"606",36047031702,3363
"607",36047031900,3508
"608",36047032100,5001
"609",36047032300,3554
"610",36047032500,6405
"611",36047032600,6948
"612",36047032700,2924
"613",36047032800,3138
"614",36047032900,5582
"615",36047003300,2327
"616",36047033000,4587
"617",36047033100,4520
"618",36047033300,4085
"619",36047033500,3139
"620",36047033600,4759
"621",36047033700,4105
"622",36047033900,4376
"623",36047003400,3047
"624",36047034000,2248
"625",36047034100,2607
"626",36047034200,6502
"627",36047034300,5281
"628",36047034500,2647
"629",36047034700,3228
"630",36047034800,2537
"631",36047034900,5403
"632",36047003500,1554
"633",36047035000,3296
"634",36047035100,4597
"635",36047035200,1246
"636",36047035300,5161
"637",36047035400,6271
"638",36047035500,5253
"639",36047035601,2912
"640",36047035602,5271
"641",36047035700,2506
"642",36047035900,5685
"643",36047003600,3804
"644",36047036001,3217
"645",36047036002,3930
"646",36047036100,2608
"647",36047036200,4204
"648",36047036300,4108
"649",36047036400,2405
"650",36047036501,2624
"651",36047036600,4767
"652",36047036700,1305
"653",36047036900,4923
"654",36047037000,4085
"655",36047037100,4120
"656",36047037300,3784
"657",36047037401,4301
